Feature,Importance
Destination_Type_Playa,0.05675865
Origin_Type_Playa,0.045945797
Origin_Type_Ciudad Fronteriza,0.025300127
Destination_Type_Ciudad Fronteriza,0.021280453
Duration,0.019149302
Destination_Type_Ciudad Principal,0.016206617
Origin_Type_Ciudad Principal,0.014849139
Route_ID_8348,0.013739149
Route_ID_404,0.012990463
Route_ID_3074,0.011365359
Destination_Type_Ecoturismo,0.010808524
Route_ID_6022,0.010272394
Bookings,0.010043395
Capacity,0.009780542
Route_ID_4962,0.009547024
Route_ID_2146,0.008831069
Route_ID_438,0.00787017
Origin_Type_MX Amigos y Familia,0.0073539447
Route_ID_592,0.007297801
Route_ID_1698,0.0071769524
Route_ID_1351,0.0071648685
Route_ID_5076,0.007069746
Route_ID_9274,0.006545244
Route_ID_637,0.0062010414
Route_ID_925,0.0060564233
Route_ID_1108,0.005774733
Route_ID_426,0.005711759
Route_ID_270,0.005246544
Route_ID_771,0.0052427533
Origin_Type_Ecoturismo,0.0051858025
Destination_Type_MX Amigos y Familia,0.005087295
Route_ID_1932,0.005050587
Route_ID_1513,0.005038061
Route_ID_8984,0.004963204
Route_ID_1679,0.004952375
Route_ID_1268,0.0048823277
Route_ID_650,0.0048803273
Route_ID_2398,0.004806989
Route_ID_3394,0.004509529
Route_ID_755,0.004254007
Route_ID_665,0.0042402158
Route_ID_350,0.0041828873
Route_ID_6685,0.004182188
Route_ID_753,0.0041535706
Route_ID_410,0.004131916
Route_ID_900,0.0040895976
Route_ID_3839,0.0040885694
Route_ID_2366,0.004010844
Route_ID_6351,0.003971606
Route_ID_1963,0.0038791501
Route_ID_2436,0.003738937
Route_ID_984,0.0036430436
Route_ID_2523,0.0036055187
Route_ID_715,0.0035925598
Route_ID_2522,0.0035914464
Route_ID_1597,0.0035643359
Route_ID_2271,0.0035070216
Route_ID_467,0.0034459375
Route_ID_6151,0.0034169795
Route_ID_1647,0.0033669162
Route_ID_3612,0.003351845
Route_ID_2207,0.0032723797
Route_ID_3390,0.0032649115
Route_ID_705,0.0032003294
Route_ID_4690,0.003155593
Route_ID_4775,0.003144375
Route_ID_8,0.003080413
Route_ID_5765,0.003074008
Route_ID_854,0.0030575648
Route_ID_1278,0.0030525352
Route_ID_626,0.003030893
Route_ID_4393,0.0030187261
Route_ID_867,0.002998332
Route_ID_2129,0.0029533454
Route_ID_5211,0.0029044491
Route_ID_8127,0.0028762347
Route_ID_3525,0.0028563966
Route_ID_1622,0.0028506021
Route_ID_1359,0.0028359136
Route_ID_98,0.0028282602
Route_ID_2882,0.0027396355
Route_ID_627,0.0027380139
Route_ID_229,0.002737587
Route_ID_7645,0.0027351645
Route_ID_483,0.002635538
Route_ID_841,0.0026282675
Route_ID_8044,0.0026122893
Route_ID_4284,0.0025796934
Route_ID_4651,0.0025698796
Route_ID_2534,0.002539123
Route_ID_3487,0.0025367078
Route_ID_89,0.002534095
Route_ID_6070,0.0025112703
Route_ID_826,0.00247845
Route_ID_309,0.0024675396
Route_ID_7,0.002436073
Route_ID_1078,0.0024060286
Route_ID_3898,0.0023961863
Route_ID_2845,0.0023779112
Route_ID_2525,0.0023731743
Route_ID_6013,0.0023341181
Route_ID_2000,0.002314994
Route_ID_7903,0.0023117184
Route_ID_2282,0.002279877
Route_ID_1627,0.0022493734
Route_ID_2752,0.002243389
Route_ID_134,0.002205253
Route_ID_798,0.0021945315
Route_ID_440,0.0021554977
Route_ID_1144,0.0021525654
Route_ID_1420,0.0021467665
Route_ID_530,0.002141288
Route_ID_948,0.0021279557
Route_ID_783,0.0021208439
Route_ID_3732,0.0021094405
Route_ID_227,0.0020752065
Route_ID_2041,0.0020117816
Route_ID_4035,0.002007824
Route_ID_1687,0.0019450686
Route_ID_8607,0.0019288509
Route_ID_517,0.0019160717
Route_ID_1210,0.001905184
Route_ID_9058,0.0018968272
Route_ID_4288,0.0018935319
Route_ID_6377,0.0018840467
Route_ID_4245,0.0018820369
Route_ID_161,0.0018614245
Route_ID_3963,0.0018481811
Route_ID_3037,0.0018027272
Route_ID_7208,0.0017913787
Route_ID_4725,0.0017756722
Route_ID_90,0.0017619152
Route_ID_2457,0.0017551918
Route_ID_6892,0.0017534805
Route_ID_234,0.0017368447
Route_ID_2972,0.001722208
Route_ID_1943,0.0017145989
Route_ID_6228,0.0017041165
Route_ID_5797,0.0016917425
Route_ID_3397,0.0016720503
Route_ID_1165,0.0016588978
Route_ID_881,0.001656396
Route_ID_8412,0.0016318781
Route_ID_5301,0.0016273696
Route_ID_4518,0.0016208218
Route_ID_6574,0.0016123423
Route_ID_1755,0.0016040188
Route_ID_216,0.0015842263
Route_ID_489,0.0015739752
Route_ID_3716,0.0015692071
Route_ID_6238,0.0015615223
Route_ID_922,0.0015589736
Route_ID_286,0.0015531974
Route_ID_1037,0.0015507528
Route_ID_1824,0.0015356772
Route_ID_1821,0.0015317744
Route_ID_2114,0.0015247467
Route_ID_1570,0.0014997834
Route_ID_2434,0.0014915626
Route_ID_9164,0.0014829852
Route_ID_215,0.0014775166
Route_ID_143,0.0014631952
Route_ID_88,0.0014404948
Route_ID_760,0.001437012
Route_ID_3225,0.0014329803
Route_ID_74,0.0014326322
Route_ID_3962,0.0014287899
Route_ID_7005,0.0014082708
Route_ID_1922,0.0014065034
Route_ID_3722,0.0013987109
Route_ID_957,0.0013975177
Route_ID_2791,0.0013958355
Route_ID_506,0.001391966
Route_ID_7947,0.0013803416
Route_ID_2673,0.0013651677
Route_ID_8356,0.0013624438
Route_ID_1419,0.0013442587
Route_ID_2474,0.0013396846
Route_ID_695,0.0013221824
Route_ID_939,0.0013071105
Route_ID_7726,0.0013060258
Route_ID_3534,0.0013038178
Route_ID_6825,0.0012992773
Route_ID_5533,0.0012888719
Route_ID_7814,0.0012872244
Route_ID_3554,0.0012711002
Route_ID_523,0.0012685271
Route_ID_1245,0.0012646299
Route_ID_409,0.0012604917
Route_ID_5004,0.0012580485
Route_ID_4427,0.0012414755
Route_ID_4419,0.0012371836
Route_ID_479,0.0012347958
Route_ID_2275,0.0012279906
Route_ID_5153,0.0012279347
Route_ID_2492,0.0012079166
Route_ID_2121,0.0012002145
Route_ID_4199,0.0011920317
Route_ID_4052,0.0011913993
Route_ID_4406,0.0011913009
Route_ID_4194,0.0011787969
Route_ID_3702,0.001176691
Route_ID_3570,0.0011736343
Route_ID_1712,0.001167711
Route_ID_5133,0.0011604244
Route_ID_6672,0.0011471506
Route_ID_485,0.0011453525
Route_ID_2131,0.0011445049
Route_ID_1655,0.0011443691
Route_ID_827,0.0011402289
Route_ID_4930,0.0011391764
Route_ID_788,0.0011277114
Route_ID_2590,0.001117692
Route_ID_6281,0.0011132082
Route_ID_2831,0.0011127044
Route_ID_8307,0.0011003676
Route_ID_1377,0.0010896766
Route_ID_2808,0.0010827882
Route_ID_2586,0.0010789831
Route_ID_821,0.0010727679
Route_ID_7487,0.0010628473
Route_ID_7687,0.0010579241
Route_ID_3,0.0010532655
Route_ID_4945,0.0010394395
Route_ID_6763,0.0010368236
Route_ID_9417,0.0010339465
Route_ID_4736,0.0010270469
Route_ID_4563,0.0010150265
Route_ID_3745,0.0010138174
Route_ID_3903,0.0010098412
Route_ID_6952,0.0010080986
Route_ID_2161,0.0010013556
Route_ID_3257,0.0009995834
Route_ID_3640,0.0009927847
Route_ID_6018,0.0009926701
Route_ID_9447,0.0009913901
Route_ID_2228,0.0009877998
Route_ID_2385,0.0009873189
Route_ID_836,0.0009870258
Route_ID_377,0.0009804774
Route_ID_973,0.0009747517
Route_ID_4956,0.00097001984
Route_ID_5601,0.0009624685
Route_ID_1927,0.00096156064
Route_ID_1040,0.0009608467
Route_ID_14,0.0009606265
Route_ID_4392,0.00094202417
Route_ID_1544,0.0009418251
Route_ID_2936,0.000937032
Route_ID_2242,0.00093064195
Route_ID_1814,0.00091855356
Route_ID_1416,0.0009180128
Route_ID_3877,0.0009146777
Route_ID_257,0.0009133524
Route_ID_1096,0.00090946665
Route_ID_2897,0.0009074985
Route_ID_6713,0.00090516306
Route_ID_5242,0.000891829
Route_ID_3468,0.0008886274
Route_ID_5246,0.0008885822
Route_ID_1192,0.00088306516
Route_ID_2075,0.00087886164
Route_ID_66,0.00086954073
Route_ID_577,0.00086929026
Route_ID_620,0.0008684396
Route_ID_2558,0.0008621675
Route_ID_1157,0.00085450034
Route_ID_263,0.0008505833
Route_ID_1985,0.0008494545
Route_ID_273,0.0008388033
Route_ID_439,0.000830634
Route_ID_4948,0.00082955987
Route_ID_1649,0.0008276917
Route_ID_1342,0.0008249704
Route_ID_2285,0.00082348625
Route_ID_3306,0.0008227177
Route_ID_1371,0.00080975867
Route_ID_300,0.00080965186
Route_ID_507,0.0008059802
Route_ID_2628,0.0008056747
Route_ID_5117,0.00079979945
Route_ID_8414,0.0007980027
Route_ID_4196,0.0007938449
Route_ID_9496,0.00079292076
Route_ID_4947,0.000792729
Route_ID_315,0.0007912498
Route_ID_5386,0.0007846372
Route_ID_9621,0.00078415824
Route_ID_1339,0.00077942305
Route_ID_1421,0.0007787278
Route_ID_2803,0.000773685
Route_ID_1683,0.000769367
Route_ID_8046,0.0007611758
Route_ID_4346,0.0007609852
Route_ID_3056,0.0007594896
Route_ID_7776,0.0007584951
Route_ID_2965,0.0007540551
Route_ID_1427,0.00074804184
Route_ID_551,0.0007440538
Route_ID_96,0.00074083736
Route_ID_8163,0.00074074825
Route_ID_8601,0.00073977426
Route_ID_3387,0.0007393357
Route_ID_5054,0.00073906395
Route_ID_3920,0.00073903234
Route_ID_2393,0.0007388601
Route_ID_2210,0.00073500286
Route_ID_7106,0.00072981627
Route_ID_301,0.0007280639
Route_ID_5252,0.0007274032
Route_ID_698,0.00072475965
Route_ID_3371,0.00072220684
Route_ID_716,0.0007188704
Route_ID_3786,0.0007146053
Route_ID_3187,0.0007132153
Route_ID_4331,0.0007098215
Route_ID_5597,0.0007067397
Route_ID_4587,0.0007030513
Route_ID_8794,0.000701342
Route_ID_4580,0.0007001526
Route_ID_9229,0.00069801504
Route_ID_7386,0.0006943543
Route_ID_5679,0.00068457343
Route_ID_2662,0.0006823607
Route_ID_4594,0.0006812029
Route_ID_2782,0.0006716908
Route_ID_595,0.0006715003
Route_ID_8160,0.00067141326
Route_ID_4657,0.0006713383
Route_ID_970,0.0006712195
Route_ID_702,0.00066575885
Route_ID_550,0.0006654917
