Feature,Importance
Origin_Type_Ciudad Fronteriza,0.035509404
Origin_Type_Playa,0.03195457
Origin_Type_MX Amigos y Familia,0.023732439
Destination_Type_Playa,0.021640787
Destination_Type_Ciudad Principal,0.017337374
Destination_Type_MX Amigos y Familia,0.016362598
Route_ID_812,0.01456528
Duration,0.012914645
Capacity,0.011903877
Route_ID_6244,0.011591217
Route_ID_3433,0.010416632
Route_ID_3349,0.008856614
Route_ID_758,0.0073377504
Route_ID_362,0.006906555
Route_ID_1588,0.00673955
Route_ID_413,0.006554192
Origin_Type_Ecoturismo,0.0065141255
Route_ID_534,0.006344623
Destination_Type_Ciudad Fronteriza,0.0062964577
Route_ID_5388,0.0062210136
Route_ID_2804,0.0060458872
Origin_Type_Ciudad Principal,0.0059368764
Route_ID_294,0.0057520485
Route_ID_4495,0.0056133247
Route_ID_80,0.0054440573
Route_ID_822,0.0054062884
Route_ID_7315,0.0052668126
Route_ID_633,0.005142237
Route_ID_730,0.004787738
Route_ID_4357,0.0047631534
Route_ID_2161,0.004630436
Route_ID_706,0.004604347
Route_ID_3161,0.0045411657
Route_ID_1795,0.0044839694
Route_ID_46,0.0043293117
Route_ID_836,0.0041840244
Route_ID_1924,0.0040891347
Route_ID_3172,0.0039910628
Route_ID_2257,0.0038606068
Route_ID_1664,0.003848309
Route_ID_1688,0.003693569
Route_ID_2342,0.0036648281
Route_ID_2918,0.0036545207
Route_ID_2717,0.0036406
Route_ID_2013,0.0036324838
Route_ID_1200,0.0036273035
Route_ID_3017,0.0035597433
Route_ID_104,0.0035498051
Destination_Type_Ecoturismo,0.0035240594
Route_ID_2692,0.0034731985
Route_ID_1372,0.0034103836
Route_ID_883,0.003398591
Route_ID_1791,0.0033552395
Route_ID_618,0.0033457389
Route_ID_1017,0.0033294535
Route_ID_832,0.0031950967
Route_ID_1234,0.0031269984
Route_ID_4613,0.0030790684
Route_ID_1578,0.003056978
Route_ID_1419,0.0030333947
Route_ID_4922,0.003012621
Route_ID_440,0.0030069458
Route_ID_910,0.0029919124
Route_ID_1053,0.0029637052
Bookings,0.0029587825
Route_ID_556,0.0029578442
Route_ID_377,0.0029080987
Route_ID_1587,0.0029049155
Route_ID_1410,0.0027777418
Route_ID_5768,0.002771811
Route_ID_1639,0.0027612725
Route_ID_105,0.0027553458
Route_ID_7613,0.0027047123
Route_ID_4776,0.0026676997
Route_ID_755,0.0026293993
Route_ID_3769,0.0026241965
Route_ID_1970,0.0026198153
Route_ID_2691,0.0025703541
Route_ID_4724,0.0025164697
Route_ID_2178,0.0025022388
Route_ID_808,0.0024673974
