Feature,Importance
Destination_Type_Playa,0.068867266
Origin_Type_Playa,0.051115856
Origin_Type_Ciudad Fronteriza,0.035501268
Destination_Type_Ciudad Fronteriza,0.020326132
Origin_Type_MX Amigos y Familia,0.013898003
Destination_Type_Ciudad Principal,0.012618059
Capacity,0.011175697
Duration,0.010189374
Destination_Type_MX Amigos y Familia,0.009184597
Route_ID_773,0.008852235
Route_ID_2894,0.008407164
Route_ID_80,0.008293861
Route_ID_3460,0.0077562775
Route_ID_4278,0.007107003
Origin_Type_Ciudad Principal,0.0070438976
Route_ID_3433,0.0062930775
Route_ID_4034,0.0058171377
Route_ID_2979,0.0057376157
Origin_Type_Ecoturismo,0.005597843
Route_ID_1906,0.0054799244
Route_ID_362,0.0054121576
Route_ID_1851,0.005170537
Route_ID_3677,0.004724251
Route_ID_534,0.0045779427
Route_ID_512,0.00449566
Route_ID_608,0.0044858563
Route_ID_750,0.0043794927
Destination_Type_Ecoturismo,0.004318838
Route_ID_1089,0.00431509
Route_ID_1664,0.004209256
Route_ID_3216,0.0041944245
Route_ID_2717,0.0041732574
Route_ID_1862,0.004123112
Route_ID_1793,0.0041084243
Route_ID_125,0.0040664994
Bookings,0.0040248744
Route_ID_3654,0.004013845
Route_ID_3470,0.003975682
Route_ID_736,0.003971185
Route_ID_2013,0.0039048933
Route_ID_440,0.00390374
Route_ID_1252,0.0038710719
Route_ID_9543,0.0037861676
Route_ID_453,0.0037029355
Route_ID_1372,0.0036608232
Route_ID_3017,0.0035496638
Route_ID_294,0.0035455006
Route_ID_908,0.0034601993
Route_ID_946,0.0034052182
Route_ID_7234,0.0033777102
Route_ID_1131,0.0033229578
Route_ID_798,0.003234997
Route_ID_837,0.0032084219
Route_ID_771,0.0032075576
Route_ID_4357,0.0032040605
Route_ID_618,0.0031450277
Route_ID_654,0.0031210182
Route_ID_1313,0.0031137802
Route_ID_84,0.0031018725
Route_ID_143,0.0031009933
Route_ID_820,0.0030780605
Route_ID_3891,0.003037939
Route_ID_5151,0.003025442
Route_ID_755,0.0030197178
Route_ID_1515,0.0029883627
Route_ID_3307,0.0029799084
Route_ID_590,0.0029686866
Route_ID_2292,0.002964999
Route_ID_104,0.0029195931
Route_ID_832,0.0029149584
Route_ID_1928,0.0028973427
Route_ID_3357,0.0028342947
Route_ID_2956,0.0027612606
Route_ID_836,0.0027554194
Route_ID_2500,0.0027342094
Route_ID_5233,0.002717041
Route_ID_2257,0.0027156242
Route_ID_1149,0.0027040236
Route_ID_4546,0.0026375568
Route_ID_3975,0.0026103738
Route_ID_248,0.002590583
Route_ID_8462,0.0025715556
Route_ID_1791,0.0025471416
Route_ID_257,0.0025265587
Route_ID_706,0.0025126268
Route_ID_842,0.0025029771
Route_ID_2913,0.0024698733
Route_ID_1746,0.0024143623
Route_ID_533,0.002393649
Route_ID_3075,0.0023666846
Route_ID_1682,0.0023382746
Route_ID_4393,0.0023203471
Route_ID_4558,0.0022806711
Route_ID_4,0.0022520379
Route_ID_3167,0.0022389926
Route_ID_1941,0.002210589
Route_ID_4236,0.0021825905
Route_ID_4366,0.0021803887
Route_ID_3724,0.0021725055
Route_ID_2227,0.002164346
Route_ID_266,0.0021607962
Route_ID_6351,0.0020839176
Route_ID_1185,0.0020727927
Route_ID_554,0.002066114
Route_ID_397,0.0020660725
Route_ID_758,0.0020535246
Route_ID_3217,0.002027464
Route_ID_970,0.0020008537
Route_ID_1234,0.0019747776
Route_ID_1218,0.001933901
Route_ID_793,0.0019135217
Route_ID_4796,0.0019078755
Route_ID_626,0.0018957836
Route_ID_910,0.0018925117
Route_ID_3144,0.0018820505
Route_ID_3718,0.0018814842
Route_ID_1774,0.0018806275
Route_ID_1687,0.0018709709
Route_ID_855,0.0018335448
Route_ID_2630,0.0018305614
Route_ID_4369,0.0018193175
Route_ID_112,0.0018183744
Route_ID_1017,0.0018085721
Route_ID_3155,0.0018048801
Route_ID_5281,0.0018006433
Route_ID_4922,0.0017989766
Route_ID_4590,0.0017802439
Route_ID_1210,0.0017450765
Route_ID_6864,0.0017446753
Route_ID_822,0.0017421086
Route_ID_7466,0.0017386789
Route_ID_105,0.0017359102
Route_ID_1639,0.0017348423
Route_ID_3161,0.00172689
Route_ID_4516,0.0017198639
Route_ID_124,0.0017197806
Route_ID_1142,0.0017173435
Route_ID_3577,0.0017087816
Route_ID_1942,0.0016957276
Route_ID_692,0.0016947528
Route_ID_1613,0.0016850356
Route_ID_424,0.0016832416
Route_ID_3302,0.0016673714
Route_ID_30,0.001662604
Route_ID_373,0.0016585065
Route_ID_2113,0.0016423231
Route_ID_4415,0.0016098839
Route_ID_1801,0.0015972693
Route_ID_1630,0.001593703
Route_ID_3839,0.0015916327
Route_ID_5394,0.0015877348
Route_ID_2650,0.0015847642
Route_ID_2587,0.0015763518
Route_ID_2164,0.001573737
Route_ID_3172,0.001573085
Route_ID_309,0.0015694635
Route_ID_2619,0.0015621708
Route_ID_689,0.001557249
Route_ID_3814,0.0015482854
Route_ID_4617,0.0015258517
Route_ID_2918,0.0015237157
Route_ID_6244,0.0015037191
Route_ID_821,0.0015021572
Route_ID_3561,0.0015011501
Route_ID_3925,0.001499573
Route_ID_2774,0.0014989565
Route_ID_316,0.0014956123
Route_ID_510,0.0014935809
Route_ID_2755,0.0014876219
Route_ID_994,0.0014785351
Route_ID_6164,0.0014692933
Route_ID_4132,0.0014655736
Route_ID_1363,0.0014473241
Route_ID_839,0.0014406072
Route_ID_7680,0.0014374409
Route_ID_1811,0.001431536
Route_ID_690,0.0014264205
Route_ID_445,0.00142401
Route_ID_2429,0.0013959563
Route_ID_2456,0.0013932505
Route_ID_1773,0.0013927366
Route_ID_676,0.0013801455
Route_ID_557,0.0013755482
Route_ID_8102,0.001357487
Route_ID_2016,0.0013538462
Route_ID_5847,0.0013523913
Route_ID_730,0.0013499451
Route_ID_1402,0.0013497202
Route_ID_5092,0.0013465123
Route_ID_7859,0.0013427361
Route_ID_5253,0.0013403576
Route_ID_3702,0.001331628
Route_ID_934,0.0013264033
Route_ID_5035,0.001319021
Route_ID_6856,0.0013174083
Route_ID_6975,0.0013139506
Route_ID_5105,0.0013104222
Route_ID_2958,0.0013018644
Route_ID_6996,0.0013005617
Route_ID_86,0.0012856211
Route_ID_1841,0.0012834219
Route_ID_400,0.0012716608
Route_ID_6703,0.0012713538
Route_ID_4776,0.0012617663
Route_ID_2200,0.0012542309
Route_ID_1815,0.001253458
Route_ID_4839,0.0012334794
Route_ID_4477,0.0012310956
Route_ID_3487,0.001215351
Route_ID_8890,0.0012129716
Route_ID_1212,0.0012066955
Route_ID_4419,0.0012035745
Route_ID_4905,0.0012033221
Route_ID_310,0.0011927299
Route_ID_5785,0.001192226
Route_ID_4370,0.0011889896
Route_ID_2985,0.0011881635
Route_ID_2185,0.0011729421
Route_ID_5350,0.0011721828
Route_ID_4984,0.0011710679
Route_ID_1467,0.0011697268
Route_ID_4811,0.0011594157
Route_ID_3420,0.0011537588
Route_ID_1567,0.00114984
Route_ID_1090,0.0011479295
Route_ID_2870,0.0011473674
Route_ID_3555,0.0011467843
Route_ID_8352,0.0011467373
Route_ID_4289,0.0011438236
