Feature,Importance
Destination_Type_Playa,0.04351188
Route_ID_5460,0.037880428
Origin_Type_Playa,0.03096074
Origin_Type_MX Amigos y Familia,0.019677643
Route_ID_3602,0.018573834
Origin_Type_Ciudad Fronteriza,0.01853489
Destination_Type_MX Amigos y Familia,0.016735476
Duration,0.010435458
Origin_Type_Ciudad Principal,0.01034874
Capacity,0.010164961
Destination_Type_Ciudad Fronteriza,0.010111618
Destination_Type_Ecoturismo,0.009457031
Bookings,0.00916922
Route_ID_618,0.008969028
Destination_Type_Ciudad Principal,0.008950383
Route_ID_2894,0.008380895
Route_ID_7085,0.007814756
Route_ID_2870,0.007778182
Route_ID_4029,0.007753132
Route_ID_2230,0.007230389
Route_ID_533,0.0069618085
Route_ID_6190,0.006738182
Route_ID_862,0.006479327
Route_ID_810,0.0061584706
Route_ID_3433,0.0057267323
Route_ID_9876,0.005515101
Route_ID_4882,0.005499079
Route_ID_534,0.0054324158
Route_ID_2075,0.0054159192
Route_ID_831,0.005263352
Route_ID_3839,0.0052219657
Route_ID_5559,0.004951039
Route_ID_3780,0.0048610824
Route_ID_706,0.00456713
Route_ID_1439,0.0045460705
Route_ID_5429,0.004410354
Route_ID_966,0.0042580524
Route_ID_813,0.0041199997
Route_ID_2548,0.004035901
Route_ID_521,0.0040097
Route_ID_1998,0.0039783083
Route_ID_2367,0.003860145
Route_ID_4627,0.0038284138
Route_ID_2161,0.0038139874
Route_ID_562,0.0038055948
Route_ID_3439,0.0037825452
Route_ID_143,0.0037430264
Route_ID_1259,0.003679592
Route_ID_925,0.0035440968
Route_ID_202,0.003325226
Route_ID_3242,0.0031857057
Route_ID_2407,0.0031197409
Route_ID_9019,0.0030571867
Route_ID_2436,0.0030376387
Route_ID_4575,0.002987016
Route_ID_637,0.002967298
Route_ID_2158,0.0029666012
Route_ID_3477,0.0029590966
Route_ID_90,0.002928827
Route_ID_771,0.0028899834
Route_ID_590,0.002858507
Route_ID_3285,0.002840825
Route_ID_2540,0.002840033
Route_ID_5338,0.0027898713
Route_ID_3071,0.0027566382
Route_ID_2486,0.0027351598
Route_ID_2688,0.0027319337
Route_ID_1647,0.0027269016
Route_ID_1467,0.0027248363
Route_ID_7507,0.0027183073
Route_ID_556,0.0026683083
