Feature,Importance
Route_ID_4513,0.070859395
Destination_Type_Playa,0.057004277
Origin_Type_Playa,0.04629912
Origin_Type_MX Amigos y Familia,0.026565447
Bookings,0.023482235
Destination_Type_Ciudad Fronteriza,0.021774443
Destination_Type_Ciudad Principal,0.01942006
Origin_Type_Ciudad Principal,0.01853451
Route_ID_2328,0.013646985
Origin_Type_Ecoturismo,0.013398555
Duration,0.012779354
Route_ID_1606,0.012633318
Route_ID_581,0.012538357
Destination_Type_MX Amigos y Familia,0.012356697
Route_ID_587,0.011950126
Route_ID_711,0.011507312
Route_ID_1240,0.011072214
Route_ID_719,0.009015085
Route_ID_898,0.008867692
Capacity,0.008681628
Route_ID_1112,0.008594899
Route_ID_2760,0.007832312
Route_ID_7089,0.0076583996
Route_ID_1249,0.007125539
Route_ID_59,0.006861548
Route_ID_824,0.0068379384
Origin_Type_Ciudad Fronteriza,0.0067094127
Route_ID_1616,0.006593481
Destination_Type_Ecoturismo,0.0062373755
Route_ID_650,0.0062100887
Route_ID_1156,0.0060050096
Route_ID_1704,0.005915396
Route_ID_670,0.005502842
Route_ID_132,0.0054240855
Route_ID_1732,0.005419938
Route_ID_753,0.0051747756
Route_ID_195,0.005157888
Route_ID_645,0.0050857235
Route_ID_304,0.004913444
Route_ID_3934,0.0048692604
Route_ID_1354,0.0048321486
Route_ID_637,0.004746654
Route_ID_3655,0.004736684
Route_ID_844,0.0046483176
Route_ID_1041,0.0045139557
Route_ID_1253,0.004449202
Route_ID_2436,0.0042785434
Route_ID_1000,0.0042370195
Route_ID_7575,0.004177201
Route_ID_1627,0.004096697
Route_ID_961,0.0039945
Route_ID_1702,0.003924459
Route_ID_1454,0.0038808675
Route_ID_590,0.0038585428
Route_ID_3462,0.0038203152
Route_ID_6460,0.0038171895
Route_ID_783,0.0037701335
Route_ID_582,0.0034361
Route_ID_4299,0.0034225099
Route_ID_5567,0.0034097102
Route_ID_865,0.0034073957
Route_ID_3088,0.0032920227
Route_ID_1098,0.00324214
Route_ID_1747,0.0032367539
Route_ID_175,0.003145869
Route_ID_106,0.0030697885
Route_ID_278,0.003025683
Route_ID_632,0.0030229324
Route_ID_4040,0.0030152127
Route_ID_1871,0.0029666424
Route_ID_2649,0.0029625099
Route_ID_243,0.0029539138
Route_ID_1332,0.0029247208
Route_ID_2561,0.0029042745
Route_ID_27,0.002900878
Route_ID_123,0.0028947378
Route_ID_236,0.0028762151
Route_ID_2029,0.002856393
Route_ID_4037,0.0027696854
Route_ID_1735,0.0027639682
Route_ID_2849,0.002695216
Route_ID_122,0.0026925874
Route_ID_232,0.0026430367
Route_ID_1031,0.0026336329
Route_ID_1527,0.002629401
Route_ID_1610,0.0026190272
Route_ID_1026,0.0026042338
Route_ID_3547,0.002589779
Route_ID_947,0.002581845
Route_ID_2474,0.0025727015
Route_ID_1411,0.0025017727
Route_ID_2057,0.0024925317
Route_ID_2791,0.0024832282
Route_ID_1430,0.002482654
Route_ID_5200,0.002452452
Route_ID_484,0.0024442938
Route_ID_2422,0.0024122866
Route_ID_2276,0.0023723692
Route_ID_2273,0.002362484
Route_ID_1916,0.0023531415
Route_ID_6751,0.002341909
Route_ID_3003,0.0022660547
Route_ID_1994,0.00221441
Route_ID_1326,0.0021897876
Route_ID_427,0.0021524152
Route_ID_1009,0.0021506324
Route_ID_1816,0.002113408
Route_ID_1384,0.002106018
Route_ID_1502,0.0020822275
Route_ID_1905,0.0020392677
Route_ID_4032,0.0020086963
Route_ID_4055,0.0020062537
Route_ID_1366,0.0019527897
Route_ID_2110,0.0019500786
Route_ID_3844,0.0019298373
Route_ID_372,0.0019214745
Route_ID_3726,0.0019212555
Route_ID_737,0.0018677259
Route_ID_3662,0.0018619507
Route_ID_4828,0.0018452046
Route_ID_2193,0.0018378074
Route_ID_1830,0.001835635
Route_ID_95,0.0018078436
Route_ID_2262,0.0017906706
Route_ID_7738,0.0017859435
Route_ID_2263,0.0017847139
Route_ID_1559,0.0017526022
Route_ID_1887,0.0017424126
Route_ID_523,0.00173051
Route_ID_5190,0.0017135743
Route_ID_1978,0.0017125729
Route_ID_3779,0.0016991892
Route_ID_1999,0.0016983108
Route_ID_1758,0.0016818764
Route_ID_1197,0.0016762492
Route_ID_5130,0.0016524584
Route_ID_482,0.0015987804
Route_ID_3917,0.0015936843
Route_ID_293,0.0015870277
Route_ID_2490,0.0015757638
Route_ID_4568,0.0015398226
Route_ID_2484,0.0015327889
Route_ID_1016,0.00152729
Route_ID_892,0.0014952766
Route_ID_1055,0.0014795361
