Feature,Importance
Destination_Type_Playa,0.047753133
Origin_Type_Playa,0.047551308
Origin_Type_Ciudad Fronteriza,0.03796019
Route_ID_3027,0.023188883
Destination_Type_Ciudad Principal,0.019655343
Origin_Type_Ciudad Principal,0.015508968
Capacity,0.013587553
Origin_Type_MX Amigos y Familia,0.013407521
Duration,0.012640683
Route_ID_6726,0.011608103
Route_ID_706,0.009936764
Destination_Type_MX Amigos y Familia,0.008431922
Bookings,0.0076448554
Route_ID_3479,0.007568314
Origin_Type_Ecoturismo,0.007029737
Route_ID_178,0.006470389
Route_ID_2030,0.0062048584
Route_ID_453,0.0061547076
Route_ID_784,0.0058361106
Route_ID_5324,0.005741127
Destination_Type_Ciudad Fronteriza,0.0054958034
Route_ID_2684,0.0054882606
Route_ID_1498,0.0054771556
Route_ID_1751,0.0049476596
Route_ID_4417,0.004920609
Route_ID_2721,0.0049059875
Route_ID_1153,0.0048915497
Route_ID_5052,0.00487551
Route_ID_1893,0.0047146427
Route_ID_1259,0.0047043758
Route_ID_132,0.0046786563
Route_ID_1112,0.0045947204
Route_ID_192,0.004561818
Route_ID_1439,0.004460304
Route_ID_3498,0.004388273
Route_ID_3784,0.0043727336
Route_ID_3657,0.004345363
Route_ID_7472,0.0043214927
Route_ID_4673,0.0042681503
Route_ID_2801,0.004263315
Route_ID_864,0.004212704
Route_ID_4507,0.004208163
Route_ID_2918,0.0041248254
Route_ID_2786,0.0041051162
Route_ID_2146,0.004046837
Route_ID_3763,0.003828931
Route_ID_266,0.003796019
Route_ID_237,0.0037557615
Route_ID_1004,0.0035200838
Route_ID_7856,0.0034448463
Route_ID_4838,0.0034180104
Route_ID_2006,0.003410357
Route_ID_5298,0.0034035062
Route_ID_3757,0.0033818563
Route_ID_251,0.003315969
Route_ID_837,0.0032205132
Route_ID_5134,0.0030922075
Route_ID_4140,0.0030127992
Destination_Type_Ecoturismo,0.0029801195
Route_ID_1471,0.002947208
Route_ID_5480,0.0029234432
Route_ID_1150,0.0029167715
Route_ID_1551,0.0028979739
Route_ID_6476,0.0028953503
Route_ID_2973,0.0028916718
Route_ID_3801,0.0028357217
Route_ID_1312,0.0027538824
Route_ID_5128,0.0027446437
Route_ID_2957,0.0027419399
Route_ID_219,0.0027385002
Route_ID_2202,0.0026842186
Route_ID_2652,0.0026817254
Route_ID_3352,0.0025955862
Route_ID_6532,0.002589395
Route_ID_1173,0.002581423
Route_ID_4481,0.0025789854
Route_ID_4136,0.00257844
Route_ID_3759,0.0025759863
Route_ID_426,0.002562334
Route_ID_2646,0.0025115355
Route_ID_415,0.0024877347
Route_ID_671,0.0024231933
Route_ID_5245,0.0023883958
Route_ID_106,0.0023879518
Route_ID_1788,0.0023826244
Route_ID_1911,0.0023759357
Route_ID_3509,0.0023545623
Route_ID_2445,0.0023301186
Route_ID_2151,0.0023140314
Route_ID_2446,0.0023028296
Route_ID_724,0.0022844926
Route_ID_4106,0.0022838486
Route_ID_4477,0.00228263
Route_ID_544,0.0022735947
Route_ID_3681,0.0022722112
Route_ID_570,0.002271911
Route_ID_2193,0.0022706266
Route_ID_7430,0.002222354
Route_ID_7057,0.0022188122
Route_ID_4294,0.0022092247
Route_ID_1373,0.002170937
Route_ID_992,0.002158273
Route_ID_783,0.0021470175
Route_ID_638,0.0021347043
Route_ID_4119,0.002132659
Route_ID_1834,0.0021229386
Route_ID_1353,0.0021054435
Route_ID_88,0.0020655028
Route_ID_4150,0.0020494289
Route_ID_2533,0.002045381
Route_ID_345,0.0020395194
Route_ID_5157,0.0020330753
Route_ID_2128,0.002008672
Route_ID_3343,0.001999135
Route_ID_234,0.0019807445
Route_ID_3022,0.001963613
Route_ID_1840,0.0019599928
Route_ID_5019,0.0019599544
Route_ID_5920,0.0019559981
Route_ID_3744,0.0019555048
Route_ID_1897,0.0019342097
Route_ID_1454,0.0019296709
Route_ID_4307,0.0019122176
Route_ID_4758,0.0018877079
Route_ID_1189,0.001886627
Route_ID_3703,0.0018762307
Route_ID_9377,0.0018677822
Route_ID_2561,0.0018659297
Route_ID_3822,0.0018571583
Route_ID_759,0.0018488656
Route_ID_1249,0.0018343469
Route_ID_6985,0.001830446
Route_ID_3241,0.0018037506
Route_ID_1042,0.001788566
Route_ID_1777,0.0017821913
Route_ID_2624,0.0017738295
Route_ID_1610,0.0017683121
Route_ID_1467,0.001768183
Route_ID_1171,0.0017620464
Route_ID_2083,0.001759108
Route_ID_7546,0.0017525817
Route_ID_2,0.0017489555
Route_ID_1408,0.0017297849
Route_ID_2386,0.0017273237
Route_ID_4714,0.0017226525
Route_ID_984,0.0017185224
Route_ID_3448,0.0017174254
Route_ID_5770,0.0016902578
Route_ID_1944,0.0016901704
Route_ID_160,0.0016803298
Route_ID_5396,0.001678404
Route_ID_2254,0.0016755167
Route_ID_1660,0.0016721244
Route_ID_2143,0.0016697731
Route_ID_3260,0.0016660816
Route_ID_5313,0.0016576815
Route_ID_6312,0.0016466118
Route_ID_1000,0.0016442235
Route_ID_1821,0.0016440166
Route_ID_4385,0.0016373486
Route_ID_442,0.0016363523
Route_ID_2113,0.0016309705
Route_ID_2574,0.0016277492
Route_ID_608,0.0016109433
Route_ID_7014,0.0016099369
Route_ID_3691,0.001608881
Route_ID_6527,0.001608792
Route_ID_4846,0.0016019362
Route_ID_3920,0.0015957837
Route_ID_65,0.0015914722
Route_ID_3895,0.0015843982
Route_ID_3180,0.0015786838
Route_ID_3214,0.0015762661
Route_ID_2823,0.0015450586
Route_ID_1451,0.0015378416
Route_ID_2898,0.0015369189
Route_ID_2200,0.0015362808
Route_ID_2222,0.0015328531
Route_ID_1923,0.0015253518
Route_ID_3862,0.0015238761
Route_ID_1245,0.001515489
Route_ID_6435,0.0015146182
Route_ID_595,0.0015107429
Route_ID_1567,0.0015069207
Route_ID_286,0.0015042068
Route_ID_1053,0.0015030424
Route_ID_1488,0.0014906342
Route_ID_1985,0.0014790341
Route_ID_73,0.0014682285
Route_ID_4047,0.0014444359
Route_ID_842,0.0014424162
Route_ID_4682,0.0014367348
Route_ID_85,0.0014355998
Route_ID_2227,0.0014354
Route_ID_37,0.0014348115
Route_ID_102,0.0014294062
Route_ID_4893,0.0014280779
Route_ID_5486,0.0014239675
Route_ID_5928,0.0014229424
Route_ID_2049,0.0014209321
Route_ID_5007,0.0014191786
Route_ID_699,0.0014160486
Route_ID_1968,0.0014098819
Route_ID_582,0.0014098182
Route_ID_6971,0.0014076368
Route_ID_1251,0.0014058565
Route_ID_222,0.0014042828
Route_ID_4780,0.0013921765
Route_ID_5466,0.0013792523
Route_ID_1693,0.0013781078
Route_ID_321,0.0013754064
Route_ID_1212,0.0013640699
Route_ID_475,0.0013623987
Route_ID_666,0.001362344
Route_ID_5215,0.0013608331
Route_ID_761,0.0013607446
Route_ID_2149,0.0013594492
Route_ID_655,0.001354397
Route_ID_5517,0.0013504034
