Feature,Importance
Route_ID_1276,0.028883697
Origin_Type_MX Amigos y Familia,0.024834584
Capacity,0.023111548
Destination_Type_MX Amigos y Familia,0.022651209
Route_ID_3145,0.021395583
Route_ID_533,0.02129426
Route_ID_1773,0.021179177
Destination_Type_Playa,0.020100404
Route_ID_1161,0.019933438
Origin_Type_Playa,0.019836068
Route_ID_1874,0.019485258
Route_ID_1410,0.01715873
Route_ID_8755,0.01693267
Route_ID_559,0.014774784
Route_ID_690,0.014733042
Route_ID_1210,0.014389735
Route_ID_1504,0.014350365
Route_ID_2692,0.014118921
Route_ID_491,0.013046216
Origin_Type_Ciudad Principal,0.012921979
Route_ID_2280,0.01277246
Route_ID_1047,0.0121777225
Destination_Type_Ciudad Fronteriza,0.012159788
Route_ID_534,0.011907605
Destination_Type_Ciudad Principal,0.011833674
Route_ID_6007,0.010774522
Route_ID_761,0.010514978
Route_ID_345,0.010076747
Duration,0.010004908
Origin_Type_Ciudad Fronteriza,0.009656148
Route_ID_3834,0.009448163
Route_ID_2241,0.009359853
Route_ID_3679,0.009214014
Route_ID_362,0.009087865
Route_ID_3216,0.008694035
Route_ID_1232,0.008643256
Route_ID_2479,0.008337411
Bookings,0.0069932807
Destination_Type_Ecoturismo,0.0066310843
Route_ID_2133,0.0064854077
Route_ID_125,0.0064252247
Route_ID_3588,0.0063080518
Route_ID_1618,0.006029252
Route_ID_650,0.005965704
Route_ID_3077,0.0057265926
Route_ID_3121,0.005150077
Route_ID_2979,0.0050481725
Route_ID_124,0.004701852
Route_ID_3953,0.004444847
Route_ID_106,0.0044389325
Route_ID_1252,0.004256304
Route_ID_2053,0.0042386297
Route_ID_634,0.004100732
Route_ID_1199,0.004015847
Route_ID_3722,0.0039755804
Route_ID_8650,0.0039084987
Route_ID_3349,0.0037858263
Route_ID_1664,0.0037203454
Route_ID_1756,0.0036304079
Route_ID_2025,0.0034605153
Route_ID_1310,0.003416448
Route_ID_1319,0.0033904777
Route_ID_1800,0.0033852593
Route_ID_1924,0.0033207983
Route_ID_821,0.0032615433
Route_ID_2257,0.0031632492
Route_ID_1402,0.003136472
Route_ID_3155,0.003118334
Route_ID_2161,0.0030958261
Route_ID_258,0.0029649504
Route_ID_755,0.0029320212
Route_ID_3307,0.0029173193
Route_ID_2846,0.0029169896
Route_ID_3418,0.0028982626
Origin_Type_Ecoturismo,0.00289162
Route_ID_57,0.0028821547
Route_ID_910,0.002865262
Route_ID_2313,0.0028409003
Route_ID_812,0.002705933
Route_ID_5049,0.0025849026
Route_ID_6407,0.0025807475
Route_ID_501,0.0025539172
Route_ID_2650,0.0024642346
Route_ID_7597,0.0024055585
Route_ID_4236,0.0023810344
Route_ID_3304,0.002333215
Route_ID_373,0.0023064085
Route_ID_706,0.0022751477
Route_ID_1234,0.0022684026
Route_ID_197,0.0022402825
Route_ID_995,0.002215958
Route_ID_2648,0.0021884118
Route_ID_594,0.002186844
Route_ID_1017,0.0021448564
Route_ID_397,0.0020468344
Route_ID_2717,0.0019848149
Route_ID_5175,0.0019809445
Route_ID_5341,0.0019768882
Route_ID_1523,0.0019464312
Route_ID_1880,0.0019449245
Route_ID_3577,0.0019251627
Route_ID_4617,0.0019168295
Route_ID_1165,0.001911472
Route_ID_1578,0.0018893053
Route_ID_3167,0.0018718223
Route_ID_4611,0.0018346522
Route_ID_2013,0.0018258431
Route_ID_2244,0.0018203394
Route_ID_2178,0.0017990131
Route_ID_9840,0.0017976699
Route_ID_440,0.0017940534
Route_ID_2689,0.0017821158
Route_ID_798,0.0017759234
Route_ID_4218,0.0017712157
Route_ID_1008,0.0017538867
Route_ID_1623,0.0017303608
Route_ID_2136,0.0017171731
Route_ID_1624,0.0017136591
Route_ID_883,0.0017041923
Route_ID_6859,0.0017016781
Route_ID_3281,0.0016948079
Route_ID_3982,0.0016638556
Route_ID_8980,0.0016622321
Route_ID_633,0.0016616865
Route_ID_4035,0.0016578545
Route_ID_383,0.0016397547
Route_ID_618,0.0016390729
Route_ID_3541,0.0016166556
Route_ID_1941,0.0016119163
Route_ID_2509,0.0016093892
Route_ID_970,0.0015651268
Route_ID_2798,0.0015585057
Route_ID_3921,0.0015135929
Route_ID_2246,0.0015111765
Route_ID_1659,0.0014936731
Route_ID_2128,0.0014931698
Route_ID_544,0.0014758629
Route_ID_4477,0.0014696665
Route_ID_2292,0.0014693801
Route_ID_1448,0.0014426662
Route_ID_1754,0.0014330918
Route_ID_147,0.0014299093
Route_ID_1667,0.001423401
Route_ID_1851,0.0014231203
Route_ID_1720,0.00142014
Route_ID_2567,0.001366658
Route_ID_1341,0.0013604921
Route_ID_1872,0.0013590498
Route_ID_286,0.0013480594
Route_ID_266,0.0013415171
Route_ID_5757,0.0013337302
Route_ID_4557,0.0013325112
Route_ID_5984,0.0013156974
Route_ID_4079,0.0013140336
Route_ID_3356,0.0013072116
Route_ID_1697,0.001296917
Route_ID_4510,0.0012954784
Route_ID_1998,0.0012570188
Route_ID_316,0.0012454329
Route_ID_4401,0.0012359561
Route_ID_310,0.0012303774
Route_ID_2701,0.0012172593
Route_ID_6233,0.0012118786
Route_ID_557,0.0011890489
Route_ID_2969,0.0011757594
Route_ID_220,0.0011654776
Route_ID_3800,0.0011448081
Route_ID_1051,0.0011433166
Route_ID_3025,0.0011314419
Route_ID_1131,0.0011311498
Route_ID_4454,0.0011292408
Route_ID_771,0.0011146367
Route_ID_759,0.0011094173
Route_ID_6446,0.0011089568
Route_ID_1887,0.001096299
Route_ID_1090,0.0010835507
Route_ID_105,0.0010784441
Route_ID_80,0.001074593
Route_ID_2619,0.0010724727
Route_ID_1316,0.0010700721
Route_ID_5451,0.0010612789
Route_ID_193,0.0010610392
Route_ID_4134,0.0010586776
Route_ID_1621,0.0010543765
Route_ID_1313,0.0010540688
Route_ID_8079,0.0010501904
Route_ID_9404,0.0010465164
Route_ID_3050,0.0010413077
Route_ID_453,0.0010411155
Route_ID_668,0.0010315261
Route_ID_294,0.0010312927
Route_ID_178,0.0010268337
Route_ID_720,0.0010217916
Route_ID_4259,0.0010113687
Route_ID_3775,0.001007413
Route_ID_6803,0.0010033882
Route_ID_1587,0.0009926556
Route_ID_993,0.0009893426
Route_ID_6363,0.0009853718
Route_ID_1450,0.0009792637
Route_ID_1471,0.0009706124
Route_ID_925,0.0009570655
Route_ID_626,0.0009562309
Route_ID_241,0.0009497728
Route_ID_2051,0.0009446161
Route_ID_3311,0.0009442382
Route_ID_1149,0.0009396494
Route_ID_1142,0.0009344448
Route_ID_758,0.00092953816
Route_ID_556,0.00092136086
Route_ID_2208,0.0009187554
