Feature,Importance
Origin_Type_Playa,0.066043615
Destination_Type_Playa,0.0454944
Capacity,0.029770516
Destination_Type_Ciudad Principal,0.020417985
Destination_Type_MX Amigos y Familia,0.018742565
Origin_Type_MX Amigos y Familia,0.016003381
Duration,0.015767543
Route_ID_534,0.013733525
Origin_Type_Ciudad Principal,0.011380983
Route_ID_1199,0.009819077
Destination_Type_Ecoturismo,0.007885233
Route_ID_106,0.0076580467
Route_ID_362,0.0069364025
Route_ID_3155,0.0064589554
Route_ID_6407,0.0061195875
Route_ID_258,0.0060277437
Origin_Type_Ciudad Fronteriza,0.005709543
Route_ID_910,0.0054617575
Route_ID_3307,0.0053438894
Route_ID_373,0.005300356
Destination_Type_Ciudad Fronteriza,0.0051033846
Route_ID_1924,0.0050313976
Route_ID_1252,0.0049877083
Route_ID_2717,0.004859055
Route_ID_1664,0.0048529287
Route_ID_1667,0.0048109135
Route_ID_5049,0.0047942344
Route_ID_3722,0.0047812317
Route_ID_2025,0.0047553275
Route_ID_2479,0.004734466
Route_ID_3077,0.0046883603
Route_ID_7597,0.0046790666
Route_ID_3304,0.0046717413
Route_ID_4134,0.0046155015
Route_ID_706,0.004596642
Route_ID_1720,0.0045371926
Route_ID_2979,0.004529138
Route_ID_1523,0.004515163
Route_ID_124,0.004480474
Route_ID_2846,0.004449173
Route_ID_1017,0.004421234
Route_ID_594,0.0043953494
Route_ID_1800,0.004378611
Route_ID_5341,0.0042275675
Route_ID_2648,0.0042034127
Bookings,0.004119294
Route_ID_634,0.0040484965
Route_ID_2178,0.004042314
Route_ID_812,0.0040148287
Route_ID_755,0.003972234
Route_ID_2161,0.0039480748
Route_ID_3121,0.0039195158
Route_ID_883,0.0038287651
Route_ID_3349,0.0038159424
Route_ID_798,0.003807496
Route_ID_6859,0.003805156
Route_ID_1659,0.0037209175
Route_ID_4611,0.0036997404
Route_ID_5461,0.003645297
Route_ID_1211,0.0036423395
Route_ID_8980,0.0036365532
Route_ID_970,0.0036261869
Route_ID_821,0.0035596753
Route_ID_4035,0.0035009333
Route_ID_1165,0.0033954133
Route_ID_3577,0.003358368
Route_ID_2692,0.0033426818
Route_ID_3834,0.0033300344
Route_ID_4236,0.0032895668
Route_ID_3541,0.003283555
Route_ID_1756,0.0032472631
Route_ID_4218,0.003238665
Route_ID_57,0.003132717
Route_ID_440,0.0030514447
Route_ID_3921,0.0030246454
Route_ID_995,0.0030097421
Route_ID_4079,0.0030094439
Route_ID_4617,0.0029843985
Route_ID_2136,0.0029100827
Route_ID_2013,0.0029066992
Route_ID_1623,0.0028742147
Route_ID_316,0.002872263
Route_ID_1234,0.002845517
Route_ID_690,0.0028376977
Route_ID_2798,0.0028149888
Route_ID_286,0.0027875283
Route_ID_1872,0.0027857423
Origin_Type_Ecoturismo,0.002743767
Route_ID_2257,0.0027187793
Route_ID_4510,0.002697621
Route_ID_618,0.002677612
Route_ID_2755,0.0026372438
Route_ID_1851,0.0026353758
Route_ID_9840,0.0025927525
Route_ID_4477,0.0025732731
Route_ID_1402,0.002565324
Route_ID_3281,0.0025518185
Route_ID_6233,0.0025422727
Route_ID_2292,0.0024552736
Route_ID_1880,0.0024079457
Route_ID_2185,0.0023945924
Route_ID_266,0.002389006
Route_ID_4401,0.0023845388
Route_ID_1090,0.00237849
Route_ID_1142,0.0023690623
Route_ID_1047,0.0023575227
Route_ID_3025,0.0023418965
Route_ID_105,0.0023095412
Route_ID_4557,0.0023034224
Route_ID_1131,0.0022945285
Route_ID_397,0.002291667
