Feature,Importance
Route_ID_2653,0.09040513
Route_ID_1077,0.052697808
Origin_Type_Ciudad Fronteriza,0.0325367
Route_ID_1384,0.031213822
Origin_Type_MX Amigos y Familia,0.023879146
Route_ID_1276,0.01853255
Route_ID_384,0.017297816
Destination_Type_MX Amigos y Familia,0.014726492
Route_ID_392,0.014552364
Route_ID_5554,0.014144873
Route_ID_242,0.012875517
Route_ID_1429,0.01285582
Route_ID_2436,0.011859854
Origin_Type_Ecoturismo,0.011853142
Destination_Type_Ciudad Principal,0.011751441
Destination_Type_Playa,0.0111053875
Route_ID_4513,0.011028912
Capacity,0.011026215
Route_ID_228,0.0108117275
Destination_Type_Ciudad Fronteriza,0.010639221
Bookings,0.009804552
Route_ID_427,0.009529109
Duration,0.0095155155
Origin_Type_Playa,0.009372501
Route_ID_378,0.009221601
Route_ID_4719,0.008670635
Route_ID_1402,0.008457133
Route_ID_229,0.008033573
Route_ID_587,0.0074759386
Route_ID_62,0.0068405434
Route_ID_482,0.0067507024
Route_ID_523,0.00658279
Route_ID_487,0.0064284718
Route_ID_3855,0.0063047097
Origin_Type_Ciudad Principal,0.006011259
Route_ID_1156,0.0059994156
Destination_Type_Ecoturismo,0.005938648
Route_ID_1411,0.005768982
Route_ID_2760,0.0053102537
Route_ID_4954,0.0052857283
Route_ID_1445,0.0050550066
Route_ID_321,0.0050064116
Route_ID_235,0.0049539804
Route_ID_650,0.0049024313
Route_ID_824,0.00448281
Route_ID_1430,0.004410076
Route_ID_2474,0.0043857265
Route_ID_4321,0.004361264
Route_ID_1041,0.004206351
Route_ID_1155,0.004117956
Route_ID_2328,0.0038562876
Route_ID_4323,0.0037260368
Route_ID_27,0.0034924576
Route_ID_1985,0.0034602473
Route_ID_430,0.003296533
Route_ID_2416,0.0032744245
Route_ID_1610,0.0032126722
Route_ID_753,0.0031356975
Route_ID_632,0.003126567
Route_ID_2404,0.0031203746
Route_ID_132,0.0030972012
Route_ID_637,0.003057586
Route_ID_271,0.0030379277
Route_ID_2058,0.002999961
Route_ID_691,0.0029482888
Route_ID_1197,0.002785467
Route_ID_1365,0.0027742912
Route_ID_610,0.0027670243
Route_ID_1171,0.002765864
Route_ID_295,0.0027656974
Route_ID_2029,0.0027478903
Route_ID_4000,0.002682639
Route_ID_2273,0.0026230982
Route_ID_429,0.0026075116
Route_ID_670,0.002583567
Route_ID_1673,0.0025278868
Route_ID_383,0.0025228828
Route_ID_1937,0.0024995457
Route_ID_1454,0.0024591442
Route_ID_3403,0.002405968
Route_ID_1916,0.0023945272
Route_ID_2909,0.0023867586
Route_ID_918,0.0023073193
Route_ID_277,0.0022680918
Route_ID_175,0.0022510143
Route_ID_3934,0.0022226062
Route_ID_1758,0.0021762522
Route_ID_3763,0.002158154
Route_ID_1323,0.0021122096
Route_ID_2571,0.0021077746
Route_ID_2341,0.0020537113
Route_ID_123,0.0020492068
