Feature,Importance
Route_ID_3651,0.05098131
Origin_Type_Ciudad Fronteriza,0.050392374
Route_ID_1168,0.03179306
Route_ID_1041,0.02705852
Route_ID_581,0.025962709
Route_ID_587,0.025406549
Origin_Type_MX Amigos y Familia,0.023660837
Route_ID_1240,0.020234633
Route_ID_6081,0.020077927
Origin_Type_Playa,0.019238522
Route_ID_395,0.018625608
Destination_Type_Playa,0.01827899
Route_ID_5247,0.01736119
Bookings,0.016676437
Route_ID_372,0.016023438
Destination_Type_Ciudad Fronteriza,0.015443391
Route_ID_430,0.015266833
Route_ID_1253,0.01250532
Route_ID_1156,0.01205927
Duration,0.01138259
Route_ID_228,0.011355073
Route_ID_1971,0.011334764
Capacity,0.010869836
Destination_Type_Ciudad Principal,0.010799261
Route_ID_2462,0.010743907
Origin_Type_Ciudad Principal,0.01074382
Route_ID_132,0.008912096
Route_ID_2328,0.008353604
Route_ID_427,0.008250848
Route_ID_1916,0.008027241
Route_ID_1171,0.007586671
Route_ID_543,0.0072974907
Route_ID_5567,0.007050607
Route_ID_670,0.0065650446
Destination_Type_MX Amigos y Familia,0.0065585515
Route_ID_650,0.0064369286
Route_ID_3779,0.00631149
Route_ID_645,0.00621774
Origin_Type_Ecoturismo,0.006140261
Route_ID_824,0.005561589
Route_ID_1454,0.0054502655
Route_ID_1249,0.0054102456
Route_ID_1616,0.0051984927
Route_ID_1276,0.004853994
Route_ID_1705,0.0047579287
Route_ID_27,0.0042705154
Route_ID_1326,0.0042448905
Route_ID_2760,0.0042338446
Route_ID_632,0.0041951844
Route_ID_3145,0.0041211317
Route_ID_1112,0.0039932854
Route_ID_582,0.0039395955
Route_ID_1732,0.0038184272
Route_ID_1366,0.0037812165
Route_ID_764,0.003519177
Route_ID_865,0.0034856456
Destination_Type_Ecoturismo,0.0033999789
Route_ID_70,0.003379803
Route_ID_1332,0.0033580884
Route_ID_6625,0.0032930733
Route_ID_1816,0.0032647017
Route_ID_1077,0.0032135064
Route_ID_2263,0.0031396032
Route_ID_2333,0.0030768365
Route_ID_2277,0.0030372278
Route_ID_1384,0.0029686
Route_ID_429,0.002933801
Route_ID_4663,0.0029283245
Route_ID_3934,0.0029156003
Route_ID_4513,0.002900379
Route_ID_2436,0.002840751
Route_ID_4568,0.002807364
Route_ID_1031,0.0027762523
Route_ID_753,0.0027667764
Route_ID_2416,0.0027073096
Route_ID_4055,0.002693831
Route_ID_1197,0.0026576146
Route_ID_523,0.0025957592
Route_ID_62,0.0025366126
Route_ID_1155,0.002523073
Route_ID_2721,0.0024961224
Route_ID_1937,0.0024843612
Route_ID_1398,0.0024826794
Route_ID_482,0.0024523686
Route_ID_637,0.0024407865
Route_ID_2597,0.002394491
Route_ID_195,0.0023795364
Route_ID_2422,0.0023483732
Route_ID_719,0.002344311
Route_ID_1026,0.0023141168
Route_ID_242,0.0023058862
Route_ID_2029,0.002300333
Route_ID_3088,0.0022509263
Route_ID_293,0.0022189228
Route_ID_1758,0.0022175487
Route_ID_175,0.0022040443
Route_ID_1321,0.0021194357
Route_ID_232,0.0020988814
Route_ID_1704,0.002080913
Route_ID_2728,0.0020447301
Route_ID_3726,0.0020152
Route_ID_1354,0.0019973963
Route_ID_2649,0.0019607318
Route_ID_236,0.0019597912
Route_ID_2273,0.0019579856
Route_ID_1098,0.0019315508
Route_ID_961,0.0019125033
Route_ID_7031,0.0018702495
Route_ID_3844,0.0018658927
Route_ID_95,0.0018644219
