Feature,Importance
Route_ID_1402,0.052336033
Origin_Type_Ciudad Fronteriza,0.047286715
Destination_Type_Playa,0.03799007
Origin_Type_Playa,0.036279153
Origin_Type_Ciudad Principal,0.024424141
Route_ID_362,0.021817643
Destination_Type_Ciudad Principal,0.021592386
Origin_Type_MX Amigos y Familia,0.021437353
Route_ID_3216,0.018468525
Capacity,0.017870324
Route_ID_491,0.016830554
Destination_Type_MX Amigos y Familia,0.014980653
Duration,0.01492817
Destination_Type_Ecoturismo,0.0142201865
Route_ID_761,0.013750602
Route_ID_4558,0.012950946
Route_ID_2894,0.011429532
Route_ID_3460,0.009527315
Destination_Type_Ciudad Fronteriza,0.009257877
Route_ID_1017,0.009141115
Route_ID_3433,0.008750261
Route_ID_125,0.008396838
Route_ID_773,0.007253408
Bookings,0.0072400705
Route_ID_6875,0.0071033565
Route_ID_4278,0.0063901567
Route_ID_197,0.006312804
Route_ID_512,0.0059905793
Route_ID_3307,0.005987983
Route_ID_2834,0.0059447703
Route_ID_1363,0.0059191994
Route_ID_1578,0.0059187044
Route_ID_3975,0.005893014
Route_ID_842,0.00583627
Route_ID_3155,0.0058266446
Route_ID_104,0.005793428
Route_ID_4034,0.0056117955
Route_ID_1515,0.0053332434
Route_ID_6703,0.0050084023
Route_ID_80,0.00463572
Route_ID_2979,0.004545421
Route_ID_3470,0.0045125857
Origin_Type_Ecoturismo,0.004483753
Route_ID_5663,0.0041997083
Route_ID_373,0.0041323085
Route_ID_832,0.0041126153
Route_ID_946,0.003852614
Route_ID_798,0.0038422863
Route_ID_1252,0.0038242768
Route_ID_1684,0.0037863923
Route_ID_1941,0.0037304135
Route_ID_908,0.0035968435
Route_ID_3654,0.0035043343
Route_ID_4546,0.003460588
Route_ID_1851,0.0034549395
Route_ID_1862,0.0033677227
Route_ID_1928,0.0033121102
Route_ID_820,0.0033049476
Route_ID_1664,0.0032934516
Route_ID_445,0.003274658
Route_ID_3357,0.003240259
Route_ID_750,0.0032139185
Route_ID_143,0.003210753
Route_ID_248,0.0031637927
Route_ID_1791,0.0031336679
Route_ID_1906,0.003098613
Route_ID_1613,0.003086809
Route_ID_3588,0.003081645
Route_ID_1731,0.00304893
Route_ID_534,0.0030325835
Route_ID_2292,0.002998978
Route_ID_84,0.0029851762
Route_ID_4366,0.00296817
Route_ID_4617,0.0029452846
Route_ID_2500,0.0029359844
