Feature,Importance
Origin_Type_MX Amigos y Familia,0.062148914
Origin_Type_Ciudad Principal,0.040045448
Capacity,0.039443698
Destination_Type_MX Amigos y Familia,0.0370096
Route_ID_3145,0.03587038
Route_ID_1276,0.033850957
Origin_Type_Playa,0.03154039
Destination_Type_Playa,0.030003699
Route_ID_491,0.0296447
Route_ID_533,0.026360268
Destination_Type_Ciudad Fronteriza,0.01685576
Duration,0.015609193
Route_ID_832,0.014992105
Bookings,0.014328455
Route_ID_2280,0.013812657
Route_ID_2133,0.013717701
Route_ID_1047,0.012341455
Route_ID_534,0.011567879
Destination_Type_Ciudad Principal,0.011316582
Route_ID_3834,0.009828867
Route_ID_3588,0.009654618
Route_ID_3679,0.008027695
Route_ID_1773,0.00745673
Destination_Type_Ecoturismo,0.0070707947
Route_ID_345,0.0066051087
Route_ID_634,0.0063946354
Route_ID_1199,0.006332392
Route_ID_124,0.0058754776
Route_ID_1664,0.00581456
Route_ID_690,0.0057941983
Route_ID_106,0.0056018257
Route_ID_362,0.0053417217
Route_ID_57,0.005274366
Origin_Type_Ciudad Fronteriza,0.0049242983
Route_ID_2979,0.004723489
Route_ID_1165,0.00418442
Route_ID_6407,0.004072224
Route_ID_1998,0.004038741
Route_ID_761,0.003946424
Route_ID_1880,0.0039087865
Route_ID_2479,0.0038818957
Route_ID_2025,0.003869564
Route_ID_2161,0.003773966
Route_ID_1252,0.0036788506
Route_ID_3155,0.0036408452
Route_ID_1756,0.0036352475
Route_ID_910,0.0034584221
Route_ID_5049,0.0033202146
Route_ID_3121,0.0033015134
Route_ID_706,0.0032825866
Route_ID_7597,0.0032796492
Route_ID_755,0.0032191516
Route_ID_1924,0.003203078
Route_ID_621,0.0031920532
Route_ID_3349,0.0031916087
Route_ID_798,0.0031773415
Route_ID_2717,0.0031155173
Route_ID_3077,0.0030960904
Route_ID_2648,0.002995157
Route_ID_1659,0.0029898456
Route_ID_1161,0.002980588
Route_ID_4218,0.0029603187
Route_ID_594,0.0029320274
Route_ID_4611,0.002848549
Route_ID_2257,0.0028269473
Route_ID_2178,0.0028091813
Route_ID_544,0.0027638094
Route_ID_3307,0.0027302708
Route_ID_3722,0.0026946457
Route_ID_3304,0.002676725
Route_ID_4236,0.0026058506
Route_ID_1623,0.0025885429
Route_ID_2013,0.002557778
Route_ID_2292,0.0025510786
Route_ID_147,0.0025477365
Route_ID_258,0.0025423758
Route_ID_286,0.0024698277
Route_ID_812,0.0024611873
Route_ID_266,0.00246021
Route_ID_1234,0.002453421
Route_ID_970,0.0024324243
Route_ID_2846,0.002413869
Route_ID_373,0.0023968164
Route_ID_440,0.0023742304
Route_ID_3281,0.002363274
Route_ID_3577,0.002352413
Route_ID_6859,0.002339953
